Long,Lat                  Streetscore    Network      Match
-74.009155,40.704914            Safe     Unsafe      False
-74.009529,40.704918            Safe       Safe       True
-74.014076,40.704922            Safe       Safe       True
-74.010284,40.704922            Safe     Unsafe      False
-74.013687,40.704926            Safe       Safe       True
-74.010658,40.704926            Safe     Unsafe      False
-74.011414,40.704929            Safe     Unsafe      False
-74.012924,40.704929            Safe       Safe       True
-74.011787,40.704929            Safe       Safe       True
-74.012543,40.704929            Safe       Safe       True
-74.018173,40.704987            Safe     Unsafe      False
-74.017769,40.705044            Safe       Safe       True
-74.004059,40.705185            Safe       Safe       True
-74.00444,40.705189             Safe       Safe       True
-74.005196,40.705204            Safe     Unsafe      False
-74.005577,40.705212            Safe     Unsafe      False
-74.006332,40.705219            Safe       Safe       True
-74.006706,40.705223            Safe     Unsafe      False
-74.016968,40.705227            Safe     Unsafe      False
-74.016586,40.705227            Safe       Safe       True
-74.015816,40.705231            Safe       Safe       True
-74.007462,40.705235            Safe     Unsafe      False
-74.007835,40.705238            Safe       Safe       True
-74.008591,40.705242            Safe     Unsafe      False
-74.008965,40.705246            Safe       Safe       True
-74.014648,40.705246            Safe       Safe       True
-74.014259,40.70525             Safe     Unsafe      False
-74.00972,40.705254             Safe       Safe       True
-74.010094,40.705254            Safe     Unsafe      False
-74.013496,40.705257            Safe       Safe       True
-74.010849,40.705257            Safe     Unsafe      False
-74.011223,40.705257            Safe     Unsafe      False
-74.013115,40.705257            Safe     Unsafe      False
-74.011978,40.705261            Safe       Safe       True
-74.01236,40.705261             Safe       Safe       True
-74.018288,40.705368            Safe     Unsafe      False
-74.017578,40.705482            Safe       Safe       True
-74.003502,40.705517            Safe       Safe       True
-73.996773,40.705517            Safe       Safe       True
-74.003876,40.705524            Safe       Safe       True
-74.004639,40.705532            Safe     Unsafe      False
-74.005013,40.70554             Safe     Unsafe      False
-74.005768,40.705551            Safe     Unsafe      False
-74.006149,40.705555            Safe     Unsafe      False
-74.006897,40.705563            Safe     Unsafe      False
-74.007278,40.705566            Safe     Unsafe      False
-74.016006,40.705566            Safe       Safe       True
-74.017204,40.705566            Safe       Safe       True
-74.016403,40.70557             Safe       Safe       True
-74.008026,40.705574            Safe     Unsafe      False
-74.015228,40.705574            Safe     Unsafe      False
-74.008408,40.705578            Safe     Unsafe      False
-74.014839,40.705578            Safe       Safe       True
-74.009155,40.705582            Safe     Unsafe      False
-74.009537,40.705582            Safe     Unsafe      False
-74.014069,40.705585            Safe       Safe       True
-74.010284,40.705585            Safe       Safe       True
-74.013687,40.705585            Safe       Safe       True
-74.012924,40.705589            Safe     Unsafe      False
-74.017929,40.705654            Safe     Unsafe      False
-73.996124,40.705715            Safe       Safe       True
-73.996536,40.705791            Safe     Unsafe      False
-73.997337,40.705791            Safe     Unsafe      False
-74.002945,40.705849            Safe     Unsafe      False
-74.003319,40.705856            Safe       Safe       True
-74.004074,40.705868            Safe       Safe       True
-74.004456,40.705872            Safe     Unsafe      False
-74.005203,40.705879            Safe     Unsafe      False
-74.005585,40.705887            Safe     Unsafe      False
-74.00634,40.705894             Safe       Safe       True
-74.006714,40.705894            Safe     Unsafe      False
-74.007469,40.705902            Safe     Unsafe      False
-74.007843,40.705906            Safe     Unsafe      False
-74.015816,40.705906            Safe       Safe       True
-74.015419,40.705906            Safe     Unsafe      False
-74.008598,40.70591             Safe       Safe       True
-74.016617,40.70591             Safe     Unsafe      False
-74.017044,40.70591             Safe     Unsafe      False
-74.008972,40.70591             Safe       Safe       True
-74.014641,40.70591             Safe     Unsafe      False
-74.014259,40.705914            Safe       Safe       True
-74.00972,40.705914             Safe     Unsafe      False
-74.010101,40.705914            Safe       Safe       True
-74.013489,40.705917            Safe       Safe       True
-74.013115,40.705917            Safe       Safe       True
-74.017998,40.705978            Safe       Safe       True
-73.995941,40.706043            Safe       Safe       True
-73.996719,40.706135            Safe     Unsafe      False
-73.997124,40.70615             Safe     Unsafe      False
-74.002388,40.706181            Safe       Safe       True
-74.002762,40.706184            Safe       Safe       True
-74.003517,40.7062              Safe       Safe       True
-74.003891,40.706203            Safe       Safe       True
-74.004646,40.706211            Safe       Safe       True
-74.00502,40.706215             Safe     Unsafe      False
-74.005775,40.706223            Safe     Unsafe      False
-74.006149,40.706226            Safe     Unsafe      False
-74.006905,40.70623             Safe       Safe       True
-74.007278,40.70623             Safe       Safe       True
-74.008034,40.706238            Safe       Safe       True
-74.016014,40.706238            Safe       Safe       True
-74.016418,40.706238            Safe       Safe       True
-74.008408,40.706238            Safe     Unsafe      False
-74.009163,40.706242            Safe       Safe       True
-74.015221,40.706242            Safe       Safe       True
-74.017258,40.706242            Safe     Unsafe      False
-74.009537,40.706242            Safe       Safe       True
-74.014832,40.706242            Safe       Safe       True
-74.014061,40.706242            Safe       Safe       True
-74.01368,40.706245             Safe     Unsafe      False
-74.012543,40.706245            Safe     Unsafe      False
-74.012924,40.706245            Safe     Unsafe      False
-74.017685,40.706261            Safe     Unsafe      False
-74.018188,40.706337            Safe     Unsafe      False
-73.996529,40.706451            Safe       Safe       True
-73.997696,40.706467            Safe     Unsafe      False
-73.997314,40.70647             Safe     Unsafe      False
-74.001823,40.706512            Safe       Safe       True
-74.002197,40.706516            Safe     Unsafe      False
-74.002953,40.706528            Safe     Unsafe      False
-74.003334,40.706532            Safe       Safe       True
-74.004089,40.706539            Safe       Safe       True
-74.004463,40.706543            Safe     Unsafe      False
-74.005211,40.706551            Safe     Unsafe      False
-74.005592,40.706554            Safe       Safe       True
-74.00634,40.706558             Safe       Safe       True
-74.006721,40.706558            Safe     Unsafe      False
-74.007469,40.706562            Safe       Safe       True
-74.007843,40.706566            Safe     Unsafe      False
-74.016624,40.706566            Safe       Safe       True
-74.008598,40.706566            Safe     Unsafe      False
-74.008972,40.70657             Safe       Safe       True
-74.015816,40.70657             Safe       Safe       True
-74.009727,40.70657             Safe       Safe       True
-74.015419,40.70657             Safe     Unsafe      False
-74.017036,40.70657             Safe     Unsafe      False
-74.014252,40.70657             Safe     Unsafe      False
-74.014641,40.70657             Safe       Safe       True
-74.011978,40.706573            Safe       Safe       True
-74.01236,40.706573             Safe       Safe       True
-74.013115,40.706573            Safe       Safe       True
-74.013489,40.706573            Safe     Unsafe      False
-74.017883,40.706619            Safe       Safe       True
-73.997887,40.70681             Safe     Unsafe      False
-73.997124,40.706814            Safe     Unsafe      False
-73.99826,40.706818             Safe       Safe       True
-74.000511,40.706833            Safe     Unsafe      False
-74.001266,40.706844            Safe     Unsafe      False
-74.00164,40.706852             Safe       Safe       True
-74.002396,40.70686             Safe       Safe       True
-74.002769,40.706863            Safe     Unsafe      False
-74.003899,40.706875            Safe       Safe       True
-74.004654,40.706879            Safe     Unsafe      False
-74.005028,40.706882            Safe     Unsafe      False
-74.005783,40.706886            Safe     Unsafe      False
-74.006157,40.706886            Safe       Safe       True
-74.006905,40.70689             Safe     Unsafe      False
-74.007286,40.70689             Safe     Unsafe      False
-74.008034,40.706894            Safe     Unsafe      False
-74.008408,40.706894            Safe     Unsafe      False
-74.009163,40.706898            Safe       Safe       True
-74.009537,40.706898            Safe     Unsafe      False
-74.016411,40.706898            Safe       Safe       True
-74.011787,40.706898            Safe     Unsafe      False
-74.012543,40.706898            Safe       Safe       True
-74.012924,40.706898            Safe     Unsafe      False
-74.01368,40.706898             Safe       Safe       True
-74.014061,40.706898            Safe     Unsafe      False
-74.016014,40.706898            Safe       Safe       True
-74.014832,40.706902            Safe       Safe       True
-74.015221,40.706902          Unsafe     Unsafe       True
-74.017227,40.706905            Safe     Unsafe      False
-74.017639,40.706932            Safe     Unsafe      False
-73.990753,40.70713             Safe       Safe       True
-73.997322,40.707153            Safe     Unsafe      False
-73.997696,40.707153            Safe       Safe       True
-73.998451,40.707161            Safe     Unsafe      False
-73.998833,40.707165            Safe     Unsafe      False
-73.999954,40.707169            Safe       Safe       True
-74.00071,40.707176             Safe       Safe       True
-74.001083,40.70718             Safe     Unsafe      False
-74.001831,40.707188            Safe       Safe       True
-74.002213,40.707191            Safe       Safe       True
-74.00296,40.707199             Safe     Unsafe      False
-74.003342,40.707203            Safe       Safe       True
-74.004089,40.707207            Safe     Unsafe      False
-74.004463,40.707211            Safe       Safe       True
-74.005219,40.707211            Safe       Safe       True
-74.005592,40.707214            Safe       Safe       True
-74.006348,40.707218            Safe       Safe       True
-74.006721,40.707218            Safe       Safe       True
-74.007469,40.707218            Safe       Safe       True
-74.007851,40.707218            Safe       Safe       True
-74.008598,40.707222            Safe     Unsafe      False
-74.008972,40.707222            Safe       Safe       True
-74.009727,40.707222            Safe       Safe       True
-74.010101,40.707222            Safe     Unsafe      False
-74.011978,40.707226            Safe       Safe       True
-74.01236,40.707226             Safe       Safe       True
-74.013115,40.707226            Safe       Safe       True
-74.013489,40.707226            Safe       Safe       True
-74.014259,40.707226            Safe     Unsafe      False
-74.014641,40.70723             Safe       Safe       True
-74.015419,40.70723             Safe     Unsafe      False
-74.015816,40.70723             Safe     Unsafe      False
-74.016617,40.70723             Safe     Unsafe      False
-74.017014,40.707237            Safe       Safe       True
-74.017784,40.707291            Safe     Unsafe      False
-73.991417,40.707317            Safe       Safe       True
-73.991096,40.707333            Safe       Safe       True
-73.990005,40.707397            Safe     Unsafe      False
-73.990402,40.70742             Safe       Safe       True
-73.997894,40.707497            Safe     Unsafe      False
-73.998268,40.707497            Safe       Safe       True
-73.999023,40.707504            Safe     Unsafe      False
-73.999397,40.707504            Safe       Safe       True
-74.000145,40.707508            Safe     Unsafe      False
-74.000526,40.707512            Safe       Safe       True
-74.001274,40.70752             Safe       Safe       True
-74.001648,40.707523            Safe       Safe       True
-74.002403,40.707527            Safe       Safe       True
-74.002777,40.707531            Safe       Safe       True
-74.003532,40.707535            Safe     Unsafe      False
-74.003906,40.707535            Safe     Unsafe      False
-74.004654,40.707539            Safe       Safe       True
-74.005035,40.707542            Safe       Safe       True
-74.005783,40.707542            Safe       Safe       True
-74.006157,40.707542            Safe     Unsafe      False
-74.006912,40.707546            Safe       Safe       True
-74.007286,40.707546            Safe       Safe       True
-74.008034,40.707546            Safe       Safe       True
-74.008415,40.707546            Safe       Safe       True
-74.009163,40.70755             Safe       Safe       True
-74.009537,40.70755             Safe     Unsafe      False
-74.010292,40.70755             Safe     Unsafe      False
-74.010666,40.70755             Safe     Unsafe      False
-74.011414,40.70755             Safe       Safe       True
-74.011787,40.70755             Safe       Safe       True
-74.012543,40.70755             Safe     Unsafe      False
-74.012924,40.70755             Safe       Safe       True
-74.01368,40.707554             Safe     Unsafe      False
-74.014069,40.707554            Safe       Safe       True
-74.014839,40.707558            Safe       Safe       True
-74.015228,40.707558            Safe     Unsafe      False
-74.016022,40.707561            Safe     Unsafe      False
-74.016418,40.707565            Safe       Safe       True
-74.017197,40.707596            Safe     Unsafe      False
-74.017555,40.707626            Safe       Safe       True
-73.991646,40.707718            Safe     Unsafe      False
-73.990944,40.707733            Safe       Safe       True
-73.990555,40.707737            Safe     Unsafe      False
-73.998459,40.707836            Safe       Safe       True
-73.998833,40.70784             Safe       Safe       True
-73.999588,40.707844            Safe     Unsafe      False
-73.999962,40.707844            Safe     Unsafe      False
-74.00071,40.707848             Safe       Safe       True
-74.001091,40.707851            Safe     Unsafe      False
-74.001839,40.707855            Safe       Safe       True
-74.002213,40.707859            Safe       Safe       True
-74.002968,40.707863            Safe       Safe       True
-74.003342,40.707863            Safe       Safe       True
-74.004097,40.707867            Safe     Unsafe      False
Long,Lat                  Streetscore    Network      Match
Long,Lat                  Streetscore    Network      Match
Long,Lat                  Streetscore    Network      Match
Long,Lat                  Streetscore    Network      Match
-74.004471,40.707867            Safe       Safe       True
-74.005219,40.70787             Safe       Safe       True
-74.005592,40.70787             Safe     Unsafe      False
-74.006348,40.70787             Safe     Unsafe      False
-74.006721,40.70787             Safe       Safe       True
-74.007477,40.707874            Safe     Unsafe      False
-74.007851,40.707874            Safe       Safe       True
-74.008598,40.707874            Safe     Unsafe      False
-74.008972,40.707874            Safe     Unsafe      False
-74.009727,40.707874            Safe       Safe       True
-74.010101,40.707874            Safe       Safe       True
-74.010849,40.707874            Safe       Safe       True
-74.01123,40.707874             Safe     Unsafe      False
-74.011978,40.707874            Safe     Unsafe      False
-74.01236,40.707874             Safe     Unsafe      False
-74.013115,40.707878            Safe     Unsafe      False
-74.013489,40.707878            Safe       Safe       True
-74.014259,40.707878          Unsafe       Safe      False
-74.014648,40.707882            Safe     Unsafe      False
-74.015427,40.70789             Safe     Unsafe      False
-74.015823,40.707893            Safe       Safe       True
-74.016617,40.707905            Safe       Safe       True
-74.017006,40.707932            Safe     Unsafe      False
-74.017639,40.708073            Safe     Unsafe      False
-73.990341,40.708073            Safe       Safe       True
-73.991486,40.708076            Safe     Unsafe      False
-73.991112,40.708076            Safe       Safe       True
-73.997894,40.708168            Safe     Unsafe      False
-73.998276,40.708172            Safe       Safe       True
-73.999023,40.708176            Safe     Unsafe      False
-73.999397,40.708176            Safe     Unsafe      False
-74.000153,40.708179            Safe     Unsafe      False
-74.000526,40.708179            Safe       Safe       True
-74.001282,40.708183            Safe       Safe       True
-74.001656,40.708187            Safe       Safe       True
-74.002403,40.708187            Safe       Safe       True
-74.002777,40.708191            Safe     Unsafe      False
-74.003532,40.708195            Safe       Safe       True
-74.003906,40.708195            Safe     Unsafe      False
-74.004662,40.708195            Safe     Unsafe      False
-74.005035,40.708195            Safe       Safe       True
-74.005783,40.708199            Safe     Unsafe      False
-74.006157,40.708199            Safe     Unsafe      False
-74.006912,40.708199            Safe       Safe       True
-74.007286,40.708199            Safe       Safe       True
-74.008034,40.708199            Safe     Unsafe      False
-74.008415,40.708199            Safe       Safe       True
-74.009163,40.708199            Safe       Safe       True
-74.009537,40.708199            Safe     Unsafe      False
-74.010292,40.708199            Safe       Safe       True
-74.010666,40.708199            Safe       Safe       True
-74.011414,40.708202            Safe       Safe       True
-74.011795,40.708202            Safe     Unsafe      False
-74.012543,40.708202            Safe     Unsafe      False
-74.012924,40.708202            Safe       Safe       True
-74.013687,40.708202            Safe       Safe       True
-74.014069,40.708206            Safe       Safe       True
-74.014847,40.70821             Safe       Safe       True
-74.015236,40.708214            Safe     Unsafe      False
-74.016037,40.708225            Safe     Unsafe      False
-74.016434,40.708233            Safe     Unsafe      False
-74.017288,40.708267            Safe       Safe       True
-73.990532,40.708408            Safe       Safe       True
-73.990921,40.70842             Safe       Safe       True
-73.991676,40.708424            Safe     Unsafe      False
-73.992058,40.708431            Safe       Safe       True
-73.996208,40.708488            Safe       Safe       True
-73.996582,40.708492            Safe       Safe       True
-73.997337,40.7085              Safe       Safe       True
-73.997711,40.7085              Safe       Safe       True
-73.998466,40.708504            Safe       Safe       True
-73.99884,40.708508             Safe     Unsafe      False
-73.999588,40.708508            Safe     Unsafe      False
-73.999962,40.708508            Safe       Safe       True
-74.000717,40.708511            Safe     Unsafe      False
-74.001091,40.708515            Safe     Unsafe      False
-74.001839,40.708515            Safe       Safe       True
-74.00222,40.708515             Safe     Unsafe      False
-74.002968,40.708519            Safe     Unsafe      False
-74.003342,40.708519            Safe       Safe       True
-74.004471,40.708523            Safe       Safe       True
-74.005219,40.708523            Safe       Safe       True
-74.0056,40.708523              Safe     Unsafe      False
-74.006348,40.708523            Safe       Safe       True
-74.006721,40.708523            Safe       Safe       True
-74.007477,40.708527            Safe       Safe       True
-74.007851,40.708527            Safe       Safe       True
-74.008598,40.708527            Safe     Unsafe      False
-74.008972,40.708527            Safe     Unsafe      False
-74.009727,40.708527            Safe     Unsafe      False
-74.010101,40.708527            Safe       Safe       True
-74.010849,40.708527            Safe     Unsafe      False
-74.01123,40.708527             Safe       Safe       True
-74.011978,40.708527            Safe     Unsafe      False
-74.01236,40.708527             Safe       Safe       True
-74.013115,40.708527            Safe       Safe       True
-74.013496,40.70853             Safe     Unsafe      False
-74.014259,40.70853             Safe     Unsafe      False
-74.014648,40.708534            Safe       Safe       True
-74.015442,40.708542            Safe       Safe       True
-74.015846,40.708549            Safe       Safe       True
-74.01667,40.708549             Safe       Safe       True
-74.017136,40.708557            Safe       Safe       True
-73.991119,40.708763            Safe     Unsafe      False
-73.991493,40.708767            Safe     Unsafe      False
-73.992249,40.708778            Safe       Safe       True
-73.994514,40.708809            Safe       Safe       True
-73.994888,40.708817            Safe     Unsafe      False
-73.995644,40.70882             Safe     Unsafe      False
-73.996017,40.70882             Safe     Unsafe      False
-73.996773,40.708828            Safe     Unsafe      False
-73.997147,40.708832            Safe       Safe       True
-73.997902,40.708832            Safe       Safe       True
-73.998276,40.708836            Safe     Unsafe      False
-73.999031,40.708836            Safe     Unsafe      False
-73.999405,40.708839            Safe     Unsafe      False
-74.000153,40.708839            Safe       Safe       True
-74.000526,40.708839            Safe       Safe       True
-74.001282,40.708843            Safe     Unsafe      False
-74.001656,40.708843            Safe     Unsafe      False
-74.002403,40.708843            Safe       Safe       True
-74.002785,40.708847            Safe       Safe       True
-74.004662,40.708851            Safe       Safe       True
-74.005035,40.708851            Safe       Safe       True
-74.005783,40.708851            Safe     Unsafe      False
-74.006157,40.708851            Safe       Safe       True
-74.006912,40.708851            Safe     Unsafe      False
-74.007286,40.708851            Safe       Safe       True
-74.008034,40.708851            Safe       Safe       True
-74.008415,40.708851            Safe       Safe       True
-74.009163,40.708851            Safe       Safe       True
-74.009537,40.708851            Safe       Safe       True
-74.010292,40.708851            Safe     Unsafe      False
-74.010666,40.708851            Safe       Safe       True
-74.011414,40.708851            Safe     Unsafe      False
-74.011795,40.708851            Safe       Safe       True
-74.012543,40.708851            Safe       Safe       True
-74.012924,40.708855            Safe     Unsafe      False
-74.013687,40.708855            Safe       Safe       True
-74.014847,40.708862            Safe     Unsafe      False
-74.016487,40.708862            Safe       Safe       True
-74.015244,40.708862            Safe     Unsafe      False
-74.016052,40.708866            Safe     Unsafe      False
-74.017357,40.708893            Safe     Unsafe      False
-73.990929,40.709103            Safe       Safe       True
-73.991692,40.70911             Safe       Safe       True
-73.992065,40.709118            Safe       Safe       True
-73.992821,40.709129            Safe       Safe       True
-73.993202,40.709133            Safe       Safe       True
-73.99395,40.709137             Safe     Unsafe      False
-73.994331,40.709141            Safe     Unsafe      False
-73.995079,40.709148            Safe     Unsafe      False
-73.995461,40.709152            Safe     Unsafe      False
-73.996208,40.709156            Safe       Safe       True
-73.99659,40.70916              Safe       Safe       True
-73.997337,40.709164            Safe       Safe       True
-73.997711,40.709164            Safe       Safe       True
-73.998466,40.709164            Safe     Unsafe      False
-73.99884,40.709167             Safe     Unsafe      False
-73.999596,40.709167            Safe     Unsafe      False
-73.999969,40.709167            Safe       Safe       True
-74.000717,40.709167            Safe     Unsafe      False
-74.001091,40.709171            Safe       Safe       True
-74.001846,40.709171            Safe     Unsafe      False
-74.00222,40.709171             Safe       Safe       True
-74.005219,40.709175            Safe     Unsafe      False
-74.0056,40.709175              Safe       Safe       True
-74.006348,40.709175            Safe     Unsafe      False
-74.006721,40.709175            Safe       Safe       True
-74.007477,40.709175            Safe     Unsafe      False
-74.007851,40.709175            Safe       Safe       True
-74.008598,40.709175            Safe     Unsafe      False
-74.008972,40.709175            Safe     Unsafe      False
-74.009727,40.709175            Safe       Safe       True
-74.010101,40.709175            Safe     Unsafe      False
-74.010849,40.709175            Safe       Safe       True
-74.01123,40.709175             Safe     Unsafe      False
-74.011978,40.709175            Safe     Unsafe      False
-74.01236,40.709175             Safe       Safe       True
-74.013115,40.709179            Safe       Safe       True
-74.013496,40.709179            Safe       Safe       True
-74.016678,40.709183            Safe     Unsafe      False
-74.014267,40.709183            Safe     Unsafe      False
-74.015854,40.709187            Safe       Safe       True
-74.014656,40.709187            Safe     Unsafe      False
-74.01545,40.70919              Safe       Safe       True
-74.017082,40.709206            Safe       Safe       True
-73.989998,40.709423            Safe       Safe       True
-73.990372,40.709435            Safe       Safe       True
-73.991127,40.709442            Safe     Unsafe      False
-73.991508,40.709446            Safe     Unsafe      False
-73.992264,40.709457            Safe       Safe       True
